match_id,player_id,player_name,team,role,kills,deaths,assists,headshot_kills,damage,utility_damage,enemies_flashed,flash_assists,kd_ratio,kda_ratio,adr,hsp,rounds_survived,survival_rate,first_kills,first_deaths,clutches_attempted,clutches_won,multi_kill_rounds,smokes_thrown,flashes_thrown,he_thrown,molotovs_thrown,avg_cash_spent_per_round,avg_equipment_value_per_round,performance_score,won_match
4d8f37f94f2a8fbc,76561198310561479,PR,"PR, REZ, Tauson, acoR, ztr",unknown,2,4,1,1,62.8,10,0,0,0.5,0.75,62.8,50.0,1,20.0,1,0,1,0,0,4,3,4,3,2360.0,2622.41,47.66,false
4d8f37f94f2a8fbc,76561198179538505,Graviti,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,3,3,1,1,52.8,0,0,0,1.0,1.3333334,52.8,33.333332,2,40.0,0,0,0,0,1,7,5,4,4,3050.0,3711.3237,92.76,true
4d8f37f94f2a8fbc,76561198168198200,Ex3rcice,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,6,2,4,4,149.0,87,0,0,3.0,5.0,149.0,66.666664,3,60.0,0,0,0,0,2,11,4,10,5,2960.0,3965.601,279.53,true
4d8f37f94f2a8fbc,76561198045739761,Maka,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,5,2,1,0,99.0,0,0,0,2.5,3.0,99.0,0.0,3,60.0,2,1,0,0,1,4,9,0,0,2670.0,4142.9155,217.55,true
4d8f37f94f2a8fbc,76561198002942763,acoR,"PR, REZ, Tauson, acoR, ztr",unknown,3,4,3,2,94.8,56,0,0,0.75,1.5,94.8,66.666664,1,20.0,1,0,1,0,1,3,8,2,4,2580.0,3076.0696,127.9,false
4d8f37f94f2a8fbc,76561198316706174,Tauson,"PR, REZ, Tauson, acoR, ztr",unknown,4,4,0,3,44.8,0,0,0,1.0,1.0,44.8,75.0,1,20.0,0,0,1,0,1,4,4,1,2,2690.0,2944.2327,85.16,false
4d8f37f94f2a8fbc,76561198034172415,REZ,"PR, REZ, Tauson, acoR, ztr",unknown,3,5,1,3,79.4,3,0,0,0.6,0.8,79.4,100.0,1,20.0,0,1,0,0,1,5,3,2,3,2570.0,2740.6968,69.85,false
79a95471652d68d2,76561198031890115,Lucky,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,9,8,1,5,75.7,66,0,0,1.125,1.25,75.666664,55.555557,5,41.666668,1,0,2,1,2,18,11,13,23,2995.8333,4581.2573,151.4,true
79a95471652d68d2,76561198034172415,REZ,"PR, REZ, Tauson, acoR, ztr",unknown,8,11,3,6,82.9,4,0,0,0.72727275,1.0,82.916664,75.0,2,16.666666,1,0,1,0,0,17,11,6,12,2933.3333,4037.6943,70.29583,false
79a95471652d68d2,76561198045739761,Maka,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,11,9,2,2,80.6,9,1,1,1.2222222,1.4444444,80.583336,18.181818,4,33.333332,2,1,1,0,2,16,24,11,16,3050.0,5122.1733,146.82916,true
79a95471652d68d2,76561199009468655,ztr,"PR, REZ, Tauson, acoR, ztr",unknown,5,11,5,2,55.3,28,1,1,0.45454547,0.90909094,55.333332,40.0,2,16.666666,0,4,0,0,1,14,12,8,19,2983.3333,3904.6997,44.116665,false
79a95471652d68d2,76561198316706174,Tauson,"PR, REZ, Tauson, acoR, ztr",unknown,13,9,0,3,99.9,60,0,0,1.4444444,1.4444444,99.916664,23.076923,5,41.666668,1,0,2,1,4,17,9,8,13,2612.5,4071.8887,212.62917,false
79a95471652d68d2,76561198310561479,PR,"PR, REZ, Tauson, acoR, ztr",unknown,13,10,2,8,102.6,165,0,0,1.3,1.5,102.583336,61.53846,3,25.0,1,2,1,0,3,22,13,11,16,2862.5,4020.5674,166.82916,false
79a95471652d68d2,76561198013295375,bodyy,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,14,9,4,9,104.6,73,1,1,1.5555556,2.0,104.583336,64.28571,4,33.333332,1,1,2,1,4,20,16,14,19,3166.6667,4092.9158,242.8625,true
79a95471652d68d2,76561198168198200,Ex3rcice,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,10,9,3,6,74.7,58,0,0,1.1111112,1.4444444,74.666664,60.0,4,33.333332,3,1,0,0,2,21,12,11,16,2766.6667,4388.896,139.15,true
79a95471652d68d2,76561198179538505,Graviti,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,9,11,6,5,88.4,1,0,0,0.8181818,1.3636364,88.416664,55.555557,2,16.666666,2,1,0,0,3,14,16,10,9,2895.8333,4378.5674,130.22084,true
79a95471652d68d2,76561198002942763,acoR,"PR, REZ, Tauson, acoR, ztr",unknown,7,12,4,2,46.9,33,3,3,0.5833333,0.9166667,46.916668,28.571428,1,8.333333,0,2,0,0,1,15,14,1,6,2562.5,5038.469,62.079166,false
ea32f93c2d369441,76561198310561479,PR,"PR, REZ, Tauson, acoR, ztr",unknown,17,17,8,7,81.3,117,0,0,1.0,1.4705882,81.291664,41.17647,7,29.166666,1,1,2,1,2,35,23,32,27,2850.0,4189.2812,138.80624,true
ea32f93c2d369441,76561198013295375,bodyy,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,14,18,3,8,74.1,117,0,0,0.7777778,0.9444444,74.083336,57.142857,7,29.166666,2,5,0,0,4,36,21,15,22,2877.0833,3667.4314,87.854164,false
ea32f93c2d369441,76561198316706174,Tauson,"PR, REZ, Tauson, acoR, ztr",unknown,25,15,3,12,98.2,0,0,0,1.6666666,1.8666667,98.25,48.0,9,37.5,5,2,1,0,6,29,22,22,33,2847.9167,4468.867,185.4625,true
ea32f93c2d369441,76561198031890115,Lucky,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,12,20,5,9,54.9,37,0,0,0.6,0.85,54.875,75.0,4,16.666666,0,2,1,0,2,29,16,35,25,2795.8333,3864.3672,45.002083,false
ea32f93c2d369441,76561198179538505,Graviti,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,17,20,7,7,77.0,17,0,0,0.85,1.2,77.041664,41.17647,4,16.666666,3,5,2,1,5,31,22,19,26,2895.8333,3718.9426,144.39375,false
ea32f93c2d369441,76561198002942763,acoR,"PR, REZ, Tauson, acoR, ztr",unknown,20,17,3,6,98.1,72,0,0,1.1764706,1.3529412,98.125,30.0,7,29.166666,6,0,2,0,5,31,29,17,23,2814.5833,5084.259,151.42291,true
ea32f93c2d369441,76561198034172415,REZ,"PR, REZ, Tauson, acoR, ztr",unknown,17,17,6,10,72.2,65,1,1,1.0,1.3529412,72.166664,58.82353,7,29.166666,3,3,2,0,3,28,26,20,26,2872.9167,4362.879,111.76667,true
ea32f93c2d369441,76561199009468655,ztr,"PR, REZ, Tauson, acoR, ztr",unknown,15,15,5,11,74.3,325,2,2,1.0,1.3333334,74.291664,73.333336,9,37.5,2,1,0,0,4,54,28,26,34,2962.5,3909.7434,116.13958,true
ea32f93c2d369441,76561198045739761,Maka,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,16,19,6,8,65.6,215,0,0,0.84210527,1.1578947,65.583336,50.0,5,20.833334,1,4,2,0,4,58,35,15,25,2825.0,4382.8916,90.8875,false
ea32f93c2d369441,76561198168198200,Ex3rcice,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,19,19,8,9,93.0,68,0,0,1.0,1.4210526,93.0,47.36842,5,20.833334,1,1,3,1,4,31,24,15,25,2847.9167,3535.9531,143.66667,false
7eec39bd18692a8d,76561198179538505,Graviti,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,12,24,10,6,44.8,276,2,2,0.5,0.9166667,44.77778,50.0,12,33.333332,1,7,0,0,1,73,56,40,42,3191.6667,4247.4185,41.405556,true
7eec39bd18692a8d,76561198031890115,Lucky,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,27,26,11,12,81.6,437,3,3,1.0384616,1.4615384,81.55556,44.444443,10,27.777779,4,1,2,0,6,39,45,65,68,3583.3333,4315.2515,130.79445,true
7eec39bd18692a8d,76561198013295375,bodyy,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,27,26,5,16,75.2,375,0,0,1.0384616,1.2307693,75.22222,59.25926,10,27.777779,6,4,1,1,7,51,53,50,51,3315.2778,4058.7317,192.6,true
7eec39bd18692a8d,76561198061763596,n1ssim,"dumau, latto, lux, n1ssim, saadzin",unknown,27,26,6,12,74.8,188,1,1,1.0384616,1.2692307,74.77778,44.444443,10,27.777779,4,2,1,0,6,41,42,35,49,3551.389,4174.8057,116.361115,false
7eec39bd18692a8d,76561198850020186,latto,"dumau, latto, lux, n1ssim, saadzin",unknown,27,24,17,13,89.5,533,0,0,1.125,1.8333334,89.5,48.148148,12,33.333332,2,0,1,1,7,57,59,43,41,3130.5557,4250.0264,208.79167,false
7eec39bd18692a8d,76561198074017668,lux,"dumau, latto, lux, n1ssim, saadzin",unknown,21,27,13,13,73.1,326,4,4,0.7777778,1.2592592,73.138885,61.904762,9,25.0,5,8,1,0,6,48,46,42,47,2997.2222,4008.607,110.556946,false
7eec39bd18692a8d,76561198168198200,Ex3rcice,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,26,23,9,16,76.9,76,0,0,1.1304348,1.5217391,76.916664,61.53846,13,36.11111,1,3,0,0,6,48,39,24,45,3497.2222,4480.2983,115.3125,true
7eec39bd18692a8d,76561198194325317,dumau,"dumau, latto, lux, n1ssim, saadzin",unknown,21,25,9,9,65.0,320,0,0,0.84,1.2,64.97222,42.857143,12,33.333332,4,2,5,2,6,64,52,50,63,3113.889,4219.2666,125.265274,false
7eec39bd18692a8d,76561198100494962,saadzin,"dumau, latto, lux, n1ssim, saadzin",unknown,20,26,8,12,51.0,261,3,3,0.7692308,1.0769231,51.02778,60.0,10,27.777779,4,4,3,1,4,47,54,30,41,3336.111,4895.6343,106.07917,false
7eec39bd18692a8d,76561198045739761,Maka,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,30,22,10,9,88.7,243,0,0,1.3636364,1.8181819,88.72222,30.0,14,38.88889,5,5,5,1,9,58,58,53,56,3815.2778,5149.7227,172.775,true
ea4b6896fa759055,76561198850020186,latto,"dumau, latto, lux, n1ssim, saadzin",unknown,16,9,3,6,84.6,103,0,0,1.7777778,2.1111112,84.611115,37.5,9,50.0,1,1,1,0,3,24,28,18,19,2430.5557,4823.6816,152.55278,true
ea4b6896fa759055,76561198031890115,Lucky,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,9,16,5,4,55.5,138,0,0,0.5625,0.875,55.5,44.444443,2,11.111111,0,0,5,1,2,26,17,11,15,2641.6667,3297.6672,61.06389,false
ea4b6896fa759055,76561198168198200,Ex3rcice,"Ex3rcice, Graviti, Lucky, Maka, bodyy",unknown,11,15,2,6,56.7,53,0,0,0.73333335,0.8666667,56.666668,54.545456,3,16.666666,0,1,1,0,4,23,22,7,11,2741.6667,3098.597,72.2,false
